"Larry Hennessy","L. Hennessy"
"Johnny Horan","J. Horan"
"Jim Loscutoff","J. Loscutoff"
"Chuck Mencel","C. Mencel"
"Chuck Noble","C. Noble"
"Richie Regan","R. Regan"
"Dick Ricketts","D. Ricketts"
"Bob Santini","B. Santini"
"Bob Schafer","B. Schafer"
"Kenny Sears","K. Sears"
"Jack Stephens","J. Stephens"
"Maurice Stokes","M. Stokes"
"Jack Twyman","J. Twyman"
"Bob Williams","B. Williams"
"Red Davis","R. Davis"
"Dick Atha","D. Atha"
"Med Park","M. Park"
"Tom Gola","T. Gola"
"Walter Dukes","W. Dukes"
"Jesse Arnelle","J. Arnelle"
"Gary Bergen","G. Bergen"
"Al Bianchi","Al Bianchi"
"Bob Burrow","B. Burrow"
"Si Green","Si Green"
"Richie Guerin","R. Guerin"
"Tom Heinsohn","T. Heinsohn"
"Joe Holup","J. Holup"
"Slick Leonard","S. Leonard"
"Johnny McCarthy","J. McCarthy"
"Willie Naulls","W. Naulls"
"Jim Paxson","J. Paxson"
"Dave Piontek","D. Piontek"
"Jim Ray","J. Ray"
"Ron Sobie","R. Sobie"
"Norm Stewart","N. Stewart"
"Bill Thieben","B. Thieben"
"Lou Tsioropoulos","L. Tsioropoulos"
"Forest Able","F. Able"
"Cliff Hagan","C. Hagan"
"Hal Lear","H. Lear"
"Ron Shavlik","R. Shavlik"
"Bob Hopkins","B. Hopkins"
"Bob Armstrong","B. Armstrong"
"Bill Russell","B. Russell"
"Phil Jordon","P. Jordon"
"John Barber","J. Barber"
"Sam Jones","S. Jones"
"Worthy Patterson","W. Patterson"
"Win Wilfong","W. Wilfong"
"Doug Bolstorff","D. Bolstorff"
"Larry Friend","L. Friend"
"Brendan McCann","B. McCann"
"Guy Sparrow","G. Sparrow"
"Charlie Tyra","C. Tyra"
"Ray Radziszewski","R. Radziszewski"
"Lennie Rosenbluth","L. Rosenbluth"
"Woody Sauldsberry","W. Sauldsberry"
"Dick Duckett","D. Duckett"
"Hot Rod Hundley","H. Hundley"
"Jim Krebs","J. Krebs"
"Jerry Paulson","J. Paulson"
"George Brown","G. Brown"
"Jim Walsh","J. Walsh"
"Bill Ebben","B. Ebben"
"Pat Dunn","P. Dunn"
"McCoy Ingram","M. Ingram"
"Bo Erias","Bo Erias"
"Barney Cable","B. Cable"
"Connie Dierking","C. Dierking"
"Hal Greer","H. Greer"
"Tommy Kearns","T. Kearns"
"Shellie McMillon","S. McMillon"
"Elgin Baylor","E. Baylor"
"Bucky Bockhorn","B. Bockhorn"
"Archie Dees","A. Dees"
"Boo Ellis","B. Ellis"
"Wayne Embry","W. Embry"
"Steve Hamilton","S. Hamilton"
"Vern Hatton","V. Hatton"
"Jim Palmer","J. Palmer"
"Jack Parr","J. Parr"
"Larry Staverman","L. Staverman"
